review,rating
"offline mode is not really offline mode. it show an error message that it failed to connect even though it is supposed to be offline mode. for it to work you have to first open the app while connected and then close it and disconnect, and then it will work offline for sometime.",1
"Its Tetris, so its fun of course, but this ad riddled nightmare that is mobile games gets tiring. Ads are constant, and some are malicious so be careful! Just finished playing a game and a fake Android alert blasted onto my screen saying my phone was ""infected"". Obviously scam/malware ads, and you guys should not be allowing this on a game so well known. Absolutely atrocious.",2
"the ads aren't loading which sounds like a blessing, except it prevents me from moving forward which forces me to close the app, go back in, and then it will skip to the next level without updating my points.",1
yep peak,5
why tf do I need interested to play Tetris,1
great game,5
Slowest game ever. I never even got to play as it was loading forever,1
"Classic Tetris, beautiful graphics, but sometimes prone to crashing and closing randomly. Still lots of fun when it works, though!",4
"yeah, its tetris alright !",5
lots of commercials,4
"amazing game but tooo many adds, is insane",2
constantly trying to make you download other games every time you beat a level,1
this app seems to have eventually found saturation point for ads 😢. it barely ever works at all. highly recommend you don't waste your time on this wall to wall ads and waiting for ads,1
so nice game 👍🤩😍,5
ads pop up on bottom of screen and mess up swiping constantly,2
Too many ads. Bummer. Shouldn't have to buy. The original didn't have ads. neither should you.,1
love it,5
the controls are bad,3
Too many ADs. Fake virus scans. Uninstalled.,1
Ads in this game linked directly to a scam phishing website,1
when will corporations stop ruining tetris,1
How to play?,1
Internet connection is required to play tetris,1
i would love it if there was the arrow keys swiping is hard to navigate and sometimes drop the blocks when i just want to speed it up down,5
"fun to play, but way too many ads",2
"the fricken adds are horrible, you spend more time trying to get through them than actually playing the game",2
"So, a 40 year old game that still holds up =fantastic. However, lately there's an ad not just for every time you fail a level BUT, an ad for every time you complete a level in-between(NOT every 3rd level), or even when you quit to return to the home screen. The game rewards you and punishes you with ADS. I can't help but wonder what the 'communist' who created it would think of your GREED. Folks can only take so many ads before they stop playing altogether. Think on your sin.",2
best game app I've played,5
Permanent ADS ON THE BOTTOM as soon as i see someting like that its a 0/10,1
just installed. it keeps on crashing,1
fun honing of spatial awareness,4
"no offline mode, can't even start the app without internet. thought I'd be able to play Tetris on my flight but noooope. otherwise it's Tetris.",1
no offline mode,1
"It says offline, but I never got to play it even with good internet after multiple tries.",1
nice,3
"imagine winning a game and rhey reward you with ads, every single game! this is acceptable if you lose, but not after winning, this is so stupid",1
The game is great but everytime I play at some point it will kick me off the game and open an internet tab stating YOUR DEVICE HAS A VIRUS My device does not have a virus and no other app or game I have does this Sketchy as anything and puts me off playing. Have deleted the app.,1
your game wont start when i click play as guest or login it the options disappear and stuck in tetris screen game wont start,1
crazy amount of ads. can pay to remove but only for 30 days before you have to pay again. Would have gladly paid $10 or $20 for permanent ad removal. Instead it got uninstalled.,1
99% ads 1% gameplay,1
"slow, adverts, pointless dribble.",1
plays bad. no space invaders. loading screens are too long for a game this simple.,1
for Tetris lovers this is a downgrade as it no longer supports multiplayer and requires playing through endless very easy levels,1
"What happened to your rewards program?! I used to have 400,000 points and now they've disappeared 😭",3
"We need a rotation button, I miss a lot of easy drops at high levels because I can't rotate and move the piece simultaneously, I am a very big fan of the game but the controls here are impractical",2
Way too many ads. You have ruined the good name of Tetris. Levels are too quick to be hit with an ad that can't be exited. The Space Invaders isn't even party of it at all. Haven't seen it. Bad advertising for this game. very disappointing to download and not get what is being advertised.,1
The ads are annoying,2
it's Tetris... having to pay monthly for no ads is a pain though... and a battle pass? cmon. three stars.,3
"It keeps crashing. Tried deleting and re-downloading the app. Didn't make a difference. It does occasionally work, but will crash when trying to load the ad banner at the bottom of the screen.",2
You got rid of the my rewards system. What a garbage decision.,1
please add touchscreen controller and customize layout button.,5
"really really fun but it's not easy, enjoy!!",5
It's a very addictive game and challenging,5
"the ads are bad most of them are coded poorly and wont even go through. have to close the app in order to play the next level or restart every single time. if it didn't choose to play an ad every time I restart the level maybe it wouldn't be an issue. constantly having to close the app over ads does get old, and a lot of times it doesn't tell you if its going to play an ad for whatever button you push",1
Unplayable due to long interactive ads. I'm not paying a monthly fee just to remove them. Scummy.,1
"On Tetris Space invaders edition, season level, number 6 is extremely frustrating. It tells you to clear 6 Space invaders, and yet, there are only 5 on screen. There's never a 6th one and no matter what you do, you end up running out of lives and lose in the game. If this is how it's going to be, I would not recommend playing the season level.",1
can be glitchy when not in bad service area. lags very bad at times even when service is good,4
very slow app doesn't run well had to restart 4 times after download do not install it it's just a waste of time,1
great app,5
I LOVE TETRIS!!! {=,5
really disappointed because I downloaded this because of the tetris vs space Invaders matchup and it sucked. I thought it was going to be something cool like a nice mashup of both space Invaders and Tetris gameplay. but so far all it is is just Tetris blocks in the shape of space aliens that you have to get rid of by playing normal Tetris or space Invaders on the screen that you need to get rid of by clearing lines by playing normal Tetris. also it took about 30 minutes to see an invader.,1
this game was better before it was bought by Meta. I just want to play regular Tetris,3
Bring back button controls and the 3 minute games. also improve ur account systems I can't connect to my former accounts......... edit: It's been 3 years since you removed the on screen controls. I used to be top 10 in my country but man you messed up your perfect game. rip Tetris.,1
"Do not install this game, It will cost your data and always full of ads.",1
Excelente. Pero ¿por qué quitaron el modo offline? 🙁,5
"Why am i being forced to swipe? Asked the AI Support chat and they said the dev team disabled on screen controls?? For what reason? What an awful change. Loaded with Ads, now this? Get it together Tetris Co otherwise alternatives will keep blowing you out the water.",1
"Was over level 1200 and had over 100k in mgm account points and multiple contests entries. my account is now lvl 1. contact customer service. it's just a bot that redirects you to the mgm casino webpage about casino issues. been playing since at least 2017, maybe as far back as 2013.",1
"This game always exits by itself when I play, please solve this problem, I use a samsung phone with 4 gb ram... I play other games with big gb and don't experience this kind of thing.... I feel a little disappointed, and I hope you solve this problem in the future...🥹",3
keep getting stuck in ads I don't know how to get out of. makes the app unusable.,1
"ads pop up every second, and it force you to watch them",1
bad controls,1
The level up animation block the view in marathon,1
incredibly slow paced. it feels like ur fighting the game to play it at times.,3
"DONT WASTE YOUR TIME, I've had this game for YEARS playing it on and off because the amount of ads makes this game completely unplayable. I opened the app for the first time in over a year and was exited to see that it had updated but the second I pressed the button to start the current level I was greeted with an ad.. I hadn't even played the game yet...immediately uninstalled. The developers have had years to improve the game and hundreds of people giving feedback but they clearly don't care..",1
paying monthly for add? shamless money grab wud rate lower for this gross monetization of a classic game. EDIT: wow they deleted everything amd forced me to start over. such a bad decision.,1
"i really love tetris, but please bring back keypad controls, its much better to play it.",3
"Paid for ad free, and still seeing ads🤡",1
"I LOVED tetris. Then the update came out and I HATE EVERYTHING ABOUT IT, why change something that has been ICONIC for years !?!?! please bring back what it used to look like, sounds etcetera 2k vibes!! back then( a few months ago) I would've rate it a 5/5 now? 2 stars 🫠 its like shows now days adding extra color to be over stimulating ? its just ew.",2
good but would prefer an option to use buttons since this touchscreen method very inaccurate.,4
"I do enjoy the game. It does have a bunch of ads. It also relies on the internet, so playing while on a plane makes it impossible. Unfortunately will be uninstalling.",3
"youd be suprised how TETRIS, could be so agravating. im not talking about the gameplay, im talking about the bugs,and the ads. you get ads, IN THE MIDDLE OF PLAYING THE GAME, and it messes up your progress.The ads are also weird. im not talking ads for games, im talking about the weird ai ads, and sexual ads. it also randomly turns your volume up when an ad plays. im sitting in my room, playing tetris and i get an ad that turns my volume all the way up and says ""DO YOU WANT TO DATE AN AI FURRY """,1
Can't go past the blue screen.,1
to many ads .but great game needs improvement,2
too much ads,2
sign in? always online?? what is this Tetris or PUBG??,1
can't even get past the start screen,1
WARNING. Fake AP trying to steal Facebook login credentials. Real talk.,1
"It was okay. At about level 10, you have to keep buying extra rounds, no matter what. It took the fun away from the game. I don't recommend it.",1
Nope. The fact that a juggernaut like Tetris has ads here is trash. Annoying. Not going to pay each month for no ads. Thank goodness for roms and emulators.,1
you can't play without a data connection. I was on a plane and wanted to pass the time. what a horrible thing to implement. no google integration either. who has Facebook anymore? the elderly?,2
"Too many ads. why does it play sound in the beginning, even on silent?",2
"What excuse is there for tetris to be laggy in 2026. 2 minutes of unskipable ads before every game, a new banner ad flashing your screen every 30 seconds, unplayable offline, ugly and slow UI, ad free is of course a subscription, $60 a year to play a step up from pong. Anyone involved in this should really consider doing better things with the air they're breathing.",1
believe it or not... I don't want nonstop ads OR a subscription to ad free in a simple app. I don't know why I'd keep this.,1
"Homescreen comes up but doesn't run. Reinstalled, same result.",1
"a shame of game ...far from the original, full of ads. there were much better versions before on Playstore but were sadly removed. now what's left of Tetris is greed and stupid company policies.",1
Riddled with ads and misses everything fun about Tetris,1
I play every night and it scratches that Tetris itch I get now and then.,5
would much rather it was just classic old tetris rather than having all these silly pointless levels,1
Its the classic Tetris with a fresh new spin,4
Games would be great if it had less ads,4
"A classic, but too many adds",3
"cant even get into the game, it stuck with ""connection lost"" while my internet is doing fine.",1
"Look I get it. Mobile games need monetization, but at least make it SENSIBLE. half the times the free ads option whenever it redirects me to playstore, makes your stupid game restart and forget any progress or currency I'm supposed to earn through said ad. Just remove the ad option if you wanna force people to pay ffs",2
the amount of ads on this game is absolutely ridiculous. When you start playing there's none for like 5 levels and then the ads are after every single level after that. the 1 minute ads that you can't even skip are the most excruciating ones.,1
ads games Category.,1
Fun game! App works great!,5
too many ads...,2
toooooo many ads!!!,2
"does not work ,say restart all the time.",1
good,5
but hang problem and unexpected ad so I deleted this game sorry,4
It's just a way to pettle ad space and in-game currency.,1
glitchy as heck it's unplayable,1
Love it short and sweet,5
"Got in to play as guest ..... then nothing happen , then next try , need to reconnect network ... uninstal",2
To remove ads you have to pay $3 A MONTH. For tetris! Absolute rip off. You should actually be ashamed of yourselves frfr,1
"fix the bug where the ""connection lost: restart the game"" screen overrides the ""play offline"" screen",1
I finally found out what garbage means till I played this,1
"ads after every level like every other phone game today. absolute garbage to deal with ads more then playing the actual game. at what point did these game companies think this was ok. people need to stop paying these people money and playing these games under these atrocious conditions, then maybe they'll stop putting out content like this.",1
"Quick question. What are the coins even for?? As far as I know, there's no store to get new stuff for this game. the EA version was superior despite it not having Offline functions, this is the ONLY Tetris game now that has Offline. I remembered when this game was released, you had more themes, now you only have the one as far as I know.",1
Couldn't turn the falling pieces. Not much fun just moving them side to side. Not designed for touch screens? It's also lousy with ads.,1
My favourite part of this game is how I need to always have an internet connection to play Tetris,1
Love it,4
"First of all, the ads are unreal. Secondly, the controls are terrible. There should be an option for swipe controls or on-screen button controls to drop, slam, hold, and rotate pieces. It's pretty obvious whoever developed this game did it solely for the ad revenue. It's a shame to see the beloved Tetris name get watered down by corporate greed.",1
worst game it's don't have offline mode it is not even opening its just keeps downloading the ad s never a entertainment,1
nice game,4
"""New Goals soon"" for the last 19 days. when? 3/30/26",2
This is not tetris. This is made for young children who do not have any idea how tetris works.,1
too many ads,2
"I've always loved Tetris, Always. and then when rewards were given in real life for gameplay I was stoked and I was saving up and saving up for certain rewards and I really did good and Kinda forgot I was earning them as I was playing. well when I finally went to use them I was notified that they completely removed the feature and now I really really don't feel like playing Tetris unless it's on a Gameboy. Goodbye Tetris and thank you so much for the waste of something hopeful👍",1
"the closest thing to the og tetris, downside being, its infested with ingame ads",4
"Useless, i cant play as guest, i cant even login with facebook and i needed to spend 20 minutes just to create that dumb facebook account and I didnt even get reward for it, i cant even login in that app, I will still need to use even dumber app, block blast 😞 1 ⭐️ eddit: IT WORKS, the reason for that before eddit is that i have trash wi fi 5⭐️",5
Crazy to have themes displayed on the game product only for them not to be supported. There is also an annoying amount of ads.,2
"Game says it can be played ""Offline"". as soon as you go offline, it tells you to restart the game, basically meaning you CANT play it offline.",1
"This WAS the classic tetris we know and love...some silly person decided it was a good idea to change the graphics of the original tetris game. The whole point of copying a classic arcade game is that you COPY the classic arcade game. The new graphics have made it harder to see the blocks clearly, and have made the blocks solid and almost 3D which gives it a weird, blurred look. You can play the ""main game"" using original blocks, but the gameplay is based on moves not speed+lines made. Yuck.",1
the control is unoying maybe u can add some different control choice like the demo version,1
Cannot play without a facebook account. Guest mode doesn't work.,1
"You gave me an unskippable ad, so I deleted your game. Stop doing that",1
"It's not the original. It already has you set up with blocks, like you're joining mid game. Once you clear those, it starts over with another setup. I thought over the years they would go back to the original way of Tetris. I hate this one. Other than is using blocks, it's nothing like the original.",1
gamingn't,2
"the game feels souless, i hate the mascot of this game so much it can not be recorded, what is that ""currency"" for ? where is the one that allowed me to buy different soundtracks within the game and with a miltiplayer that didnt require me to put 500 hours ? this is the worst iteration of tetris i have ever seen",1
"great game, ads though",1
Not worth it. You collect coins to continue playing & eventually run out so you have to buy more. Lame.,1
"Non si avvia neanche. Premo per entrare come ospite e si blocca su una schermata senza niente, senza andare né avanti né indietro.",1
"Could be a better Tetris. It's annoying there isn't a 1 off payment to get rid of ads permanently. The touch controls are not as good as if you had virtual buttons. It's too easy to make mistakes with swiping. I keep getting coins, that are only used when you run out of moves. Using them would kill the fun of the game, so I'm never spending them. The Boss levels with a timer are easier than other levels because the amount of time given is way too long. Marathon mode is good.",3
"Game doesn't work, it keeps putting me on a black screen.",1
Over heating error at level 3. Hone was not hot.,1
"Recently, I found myself on a long flight without any entertainment. Then I gleefully remembered I had Tetris on my phone. But when I tried to open the app, it wouldn't even let me get to the main screen, let alone play any games. Obstructing the game to such a level for the sake of pumping it full of ads is just sad. I'd be willing to pay for it to get rid of the ads, and especially to play offline Tetris without interruptions. In this state though, the game is sadly unplayable.",1
The amount of ads now are outrageous and makes you not want to play.,1
very challenging game I love it.👍🏽👍🏽👍🏽,5
"Very predictable, boring and certain situations not solvable without ads or paying. Do NOT RECOMMEND.",1
"I've really tried to play this game but ads make it unbearable, such a shame for Tetris",1
"The best copy of this game I ever played was the Nintendo version in the mid to late 80s. This one is pretty good, but you have to be online, so I'm going to delete. This game doesn't need to be online only game.",3
it's not Tetris...,1
runs slow,1
be more fun if it was more like regular tetris and could play till you lose because you have no more moves,3
"1% Tetris 99% unbearable ads. They're all too long, too loud, weirdly pervy, or all of the above.",1
Unskippable ads uninstalled,1
installed and it would not even load. pity.,1
Acts more like a virus. ads pop up that absolutely will not let you get out of.,1
good,5
What happen to all of my myVIP rewards? Did it all just go to zero?,2
it's stupid,1
"there's an ""ad"" that will interrupt a level to tell you your system has a virus and you have seconds to act. I don't really think thats an ok ad to display",3
"worst game ever, tried playing as a guest is impossible, the game won't load no matter what... I'm on a pixel 9 pro which should be fine to play this game.",1
it's the best game ever for get focus And getting smarter i would recommend this app when i have kids,5
cant play offline,1
I just got a scam virus alert while playing Tetris. It doesn't seem to be any way to post the image here. does anyone know how to report this to the Google Play store itself.,1
temu adverts are deceptive and hard to close,4
"This version of Tetris is only good Offline. The ads are far too frequent and you cannot back out of them on some, I have to restart the app. Please address that and allow me to pay money to get rid of ads forever.",2
Game can't seem to deal with scores about 1 million very well on marathon mode... and doesn't always recognise taps and swipes so leaves blocks in awkward positionz,3
this isn't Tetris!,1
"lame and easy, designed for ads",1
Classic game versus imposters. Option for team play and challenges. Latest upgrade hides the total score so hopefully that will be fixed.,4
Removing myVIP Rewards makes this game worthless. Easy uninstall.,1
"long ads, cant play without service. Otherwise a good game",3
so fun!,5
"I like the app, wish the levels had a hold button & I could continue without going back to home screen each time",3
doesn't load,1
"possibly one of the worst versions of this game. Bombarded with ads. The fact that you can pay for ad removal for only 30 days is egregious. It recognises the loss of connection if you disable any network connection, halting the app from doing anything and every so often it lauches my internet app to a very obvious scam website. I kinda like the mission based levels and obviously it plays like tetris, so i guess its got that going for it... so safe to say i dont recommend this version",1
Can't play offline,3
"today, im finished the st patricks cravings even, but got nothing, no price at all, wth ?!",1
great game overall but it doesn't allow me to play offline like I have my internet off and suddenly I get a pop-up telling me I have no internet and told me to restart the game I clicked it but for some reason it didn't restart and stayed static for a few moments before eventually disappearing a few seconds later the pop-up telling me to restart the game because I have no internet appeared again and this goes on in a loop until I eventually closed the game nvm it's fixed however it happen,2
just saw something genuinely traumatizing about to play tetris,5
"Used to be good. Played on Galaxy S9 and ran great, very high fps. It had ads, but not too bad, and gameplay was great. Played every day, thousands of levels. Over that time, I saw things go downhill. Ads became so frequent that time spent watching was longer than time spent playing. Also got very slow, long load times, low fps, phone overheating. Got new phone, runs fast but overheats. Very poor optimization. Also, piece spawning is not true to original rules. IMHO, this is no longer Tetris 😔",1
paid for no ads and still get ads. whats more is even even when ad is over it doesn't go back to the game.,1
"Too many ads, some of which have installed themselves when I tried to close them. Update: ads are only getting longer and more intrusive.",3
"I uninstalled this game because I was uninterested in it. However, the game is fantastic and I think this game should receive all the stars from me!",5
"Too many ads, makes playing awful, I constantly have blocks not going where I placed them because what is supposed to be an offline game lags because they ham fist in a new add every approximately 5 seconds.",1
"I love Tetris because it helps with my PTSD, however lately, the leveling up system ruins the entire experience. After you win a game, you have to wait for the coins, the points, the leveling up, the card rewards, etc. before moving to the next game. It takes way too long. I genuinely do not care about leveling up or getting coins. I just need a simple version where I can play seamlessly. It's just way too much now. I'm now looking for off-brand alternatives without all this extra stuff.",1
not what i was hoping for a tetris game.,1
Not interested in this ....,1
"I was excited about playing a nostalgic classic game, however it won't load the game. I don't have a Facebook so chose to play as guest and it just sits there won't load the actual game. very disappointed 😔",1
"awesome game. Just have to sign out and back in for tedious, long, commercials.",4
idiots make it online,1
to many ad's,1
"- Too many advertisers that cheat the marketing protocol by extending their time with mini restarts, with some being 3 times longer than typical.!!!",1
"The ads are a significant prpblem: you have to exit and restart the Tetris in order to play another level. At first the ads were less intrusive, at least for me they were... but by level 15 (which you can achieve in less than 30 minutes even if you aren't great at Tetris) you literally get an add after every level. The gameplay itself is good, as good as it can get on a touchscreen, excellent even, but having to manually restart the app after every level is truly horrible. Sad but true.",3
"Ads are out of control, deleted bc it kept showing ads for games murdering animals with an axe. Absolutely disgusting and shocked there would be such violence advertise on a TETRIS game",1
I was playing and got a pop up from one of the ads of a phishing scam saying my device was infected and I need to click the link.,1
"I love tetris but this app has so much down time loading between games it's beyond a joke, then there's all the ads, especially the one claiming there's a virus on the phone, anyone not as knowledgeable may be fooled. got to level 41 before saying enough is enough with this app. Marathon was the most fun and like good old Tetris, but using a touchscreen is limiting for a game that gets fast and needs precision. Think I'll dig out my old gameboy.",3
this ain't Tetris,1
"It was going good, despite the apps, until some malware from your side popped up, telling me I had three viruses. I immediately exited the game, and deleted it. Never Again.",2
"terrible. tetris missed an opportunity here. instead, ads take over at every step, even during game play. the short game goals seem to be made for more ads. gross. barf",1
doesn't work,1
"lots of ads but it's a really good mobile Tetris game. if you're on Android, sometimes you can skip the ads by spamming the back button",4
"fun games, but sometimes the ads don't go away after playing or there's no option to click out of it so you have to close the app and open it again.",4
Update: Still fun but is now rampant with mandatory ads that take up more time than actually playing. I am likely to uninstall this game. Original: Fun throwback. not too many ads.,2
"adds, adds, adds, and more adds....",1
when this app first released it had dpad and button configuration besides just swipe controls... swipe controls suck and are not as responsive... totally made me stop playing. I placed 2nd place in my state re-downloaded the app and was devastated that dpad and button options was taken away.,1
"pretty good, until I attempted to play offline mode, I selected ""play offline"" and it was what I THOUGHT was gonna let me play offline but it asked me to restart to play online?! is this game supposed to be offline or online?! I can't tell anymore! it allows you to directly play offline but wants you online? I don't understand that logic. I seriously don't. why have an offline option if you can't play offline?! it seeks to understand me. seriously.",2
"The game is great. I personally love Tetris, and making a mobile game for free was an amazingly successful business idea. The only complaint I have is that there is some sort of bug between the music and the classic mode. For me, it's either I can play the game with no audio, or I can have audio but the game doesn't work. We all know that Tetrus music is the best, and I'd love to see this bug get fixed.",4
excellent!,5
"Evry update we always read ""we listen to the community"" its been 2 years since we are waiting for you to bring back the old buttons",2
too much ads,1
game is good but the problem is too many ads plus those or not 5 sec then skip ads those are 10 or sometimes a whole min ad without anything claiming like to get some reward we watch ads etc. then in marathon the level up gets fast and on 15 level i can't play properly. this game need to fix this bugs. then i will give 5 star,2
you lock my screen and force me to watch ads are you crazy?!,1
lies about being offline. the playstore list this as an offline game however you can't even launch it without an internet connection likely just to run the game with the bloated amount of ads it has. even when you do have a connection if it's not strong also forget about playing as you'll just be stuck loading the game just for it to say you have no connection again. if you are looking to simply play tetris on your phone offline this isn't it,1
"I do not like that they put pegging days/ holidays in the background, I do not celebrate those days and don't acknowledge them at all. app wasn't like this at first feel like they are trying to force those days on you, for this I am deleting the app.",1
this game isnt even tetris just some cheap knockoff,1
"not the tetris I grew up with ,but okay.",2
"Baad, too much ads, dont download it",1
The original Tetris was relaxing. This one is ad filled garbage,1
controls are bad. I would prefer to have the option for physical buttons not sliding on the screen. I don't see any option to change that in the settings. one star till that's fixed.,1
A friend and I both downloaded this app and tried to log in as guest (only alternative to Facebook). Both of us experienced the app then freezing. We cannot log in.,1
"I would like it a lot if I could play it offline overall it's fun, yet not that good when it comes to ads",3
too many adds,3
loss of point accumulation from this game with continued forced aggressive ads is all sorts of messed up Aggressive advertisements that contain poor tactics. Any interaction on the next or x button will cause the advertised application to pop up in Google Play store. Deceptive timers for advertisements. Can't recommend Tetris from this developer with those tactics implemented. You wouldn't have ever went live with these tactics if you cared about player experience.,1
why is it over a gigabyte when installed? is it all just ads?,1
"Why does this game needs internet when you put ""offline"" in the description ? >:[",1
"Good game play options and challenging levels. I played Tetris in the 80s, loved it then and can enjoy it again now.",4
too many adds.,3
"No Royale, no thanks.",1
"game is fun, but adverts actively pretend to be a virus. I really wish I could include a screenshot",2
doesn't even start. keep asking me to reconnect because the connection is lost even though my internet is excellent,1
great classic game!,5
Levels aren't getting harder. The game becomes boring after a while,3
Is this supposed to be a game? I just get a screen that says Tetris. Then it says it lost a connection. Connection to what?,1
"chews up a shocking amount of battery, will pull out of the game, midplay, to ad in-browser that claims your phone has a virus. really disappointing",2
Love this game until it went away.,5
way too many intrusive ads. unplayable because of them.,2
"keeps sending me to malware sites at random if your ads are all ""your phone is infected with 6 viruses"" scams then your app is a scam.",1
Exactly what it says it is. Tetris.,5
No one asked for your stupid levels and animations. I just want to play original tetris without all this extra nonsense.,1
love it!!,5
classic,4
I like the game.,5
"can you add an option to make the ui have a joystick to move (up is swipe down, down is hold down, left and right are moving) and buttons for left turing and right turning (like the arcade version) because I genuinely hate this UI but I love tetris",1
A real great mindset game,5
"Great game, fond childhood memories. Feint love, Corporate greed. Ad frenzy, Thirty days free. edit March 3rd 2026: Wooow!! Thank you, you loving and greedy people.",1
Matt wins always,5
"It's pretty typical of all free games available on Google Play. Occasionally challenging. Mostly ads. I give it a big, ""Meh.""",3
requires connectivity to play. this felt like a sad state of the game. I wish I still had access to the 10$ app I had purchased a decade ago,1
didn't like w my phone... I like old school w and actual controller,1
"do the tetris devs even care about players? touch and swipe controls are absolute garbage, bring back on-screen controls",1
"Game worked for a few week. However, recent app change - last few days has made the game regress to unusable - imho. My bonus points 33.5k just vanished. Had to uninstall this game.",3
it is Tetris .. maybe a few ads but otherwise ok,4
not sure if it's the game itself or something wrong with your add network but this app caused a virus on my phone.,1
"HIGH SCORE: 826,444",5
"I've loved Tetris since I was a little girl, I'm 43 and still love it",5
good solid game.,4
to many ads,3
bro I just installed it and it keeps saying to restart the app to connect. FIX THIS BUG TETRIS DEVS,3
too many ads,4
"Ads, ads and more ads. You'll spend more time on ads than the game.",1
"This game has had a lot of work done on it. Helpful hint to users, sit through the ads to get your prizes. if you go too long without collecting those rewards, the game starts freezing.",3
"The ads are ridiculous and the game is buggy. update: 2 years later, I downloaded the game again, free version. ads are SO much better and the game seems (basically) bugless - granted, I'm only 5 levels in but that's farther than I got 2 years ago. changed my rating from 1 to 5 stars. well done, developers.",1
Constant ads that I can't exit from unless I close the app and restart it,1
boringgggg,1
doesnt load the screen,1
crashes constantly. started 2 minutes after I played it for the first time. not even old school tetris really. big disappointment. And why does it use so much data? it's frickin tetris and yet it uses more data than even youtube. it uses the most data of any app on my phone. why? ridiculous. uninstalling.,1
no screen controls make for a frustrating experience.,2
"I love Tetris, and the game is great. Unfortunately there are so many unclosable ads that it really kills the fun.",2
impossible to play with the amount of ads,1
No Offline Playing,1
Don't bother. It's not like original Tetris. control movements don't work at all. try to rotate? It skips several positions like setting you up for failure. take a hard pass on this version,1
"Hey Tetris Devs, if you're going to put ads on this app, cool. But video ads that crash the app or unskippable ads that take 5 minutes to play. Get bent. Once again, it is unacceptable for a minimalist game like Tetris.",1
The newest update made this game so laggy it's unplayable. Edit: this app has caused my phone to crash twice now. I'm uninstalling and never coming back to this game.,1
"waste of time , not what I expected",1
too many ads to actually enjoy the game,1
Good for the brain.,5
"annoying ads, glitchy game, does not properly credit after clearing multiple levels",2
super fun game!,5
og better,1
felt old,5
This app has such an insane amount of extremely intrusive ads that are so hard to navigate because of their intentionally deceptive buttons and take so long to wait through that its actually easier and quicker to keep closing the app to see if you will be able to start the next round without getting an ad.,1
trash,1
This is good game. Tetris. Abdull Tarzi,5
terrible implementation. where are the buttons? uninstalled after 3 minutes terrible experience.,1
wayyy toooo manyyy ads!!!,3
Who couldn't LOVE this cerebral classic game? Tetris is the GOAT of games!,5
"It says 'offline' in the describtion, yet it it the opposite. I must always get connected to the Internet, otherwise, the game would not even load a bit!",2
the ads are a bit much,3
does not play in offline mode,1
ads suck,1
garbage. won't even load pass the main loading screen. pathetic.,1
too many ads,2
